Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[28.0, 78.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
1,"[28.0, 78.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
2,"[15.0, 78.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
2,"[15.0, 78.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
3,"[22.0, 78.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
3,"[22.0, 78.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
4,"[17.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
4,"[17.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
5,"[20.0, 89.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
5,"[20.0, 89.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
6,"[23.0, 84.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
6,"[23.0, 84.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
7,"[24.0, 79.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
7,"[24.0, 79.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
8,"[28.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
8,"[28.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
9,"[23.0, 77.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
9,"[23.0, 77.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
10,"[22.0, 84.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
10,"[22.0, 84.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
11,"[36.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
11,"[36.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
12,"[21.0, 75.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
12,"[21.0, 75.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
13,"[22.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
13,"[22.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
14,"[19.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
14,"[19.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
15,"[24.0, 83.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
15,"[24.0, 83.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
16,"[23.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
16,"[23.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
17,"[28.0, 74.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
17,"[28.0, 74.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
18,"[22.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
18,"[22.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
19,"[24.0, 78.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
19,"[24.0, 78.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
20,"[20.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
20,"[20.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
21,"[22.0, 72.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
21,"[22.0, 72.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
22,"[15.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
22,"[15.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
23,"[17.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
23,"[17.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
24,"[22.0, 74.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
24,"[22.0, 74.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
25,"[23.0, 72.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
25,"[23.0, 72.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
26,"[25.0, 79.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
26,"[25.0, 79.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
27,"[25.0, 79.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
27,"[25.0, 79.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
28,"[28.0, 86.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
28,"[28.0, 86.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
29,"[24.0, 79.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
29,"[24.0, 79.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
30,"[22.0, 85.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
30,"[22.0, 85.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
31,"[25.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
31,"[25.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
32,"[20.0, 75.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
32,"[20.0, 75.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
33,"[20.0, 75.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
33,"[20.0, 75.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
34,"[30.0, 77.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
34,"[30.0, 77.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
35,"[32.0, 83.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
35,"[32.0, 83.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
36,"[18.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
36,"[18.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
37,"[25.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
37,"[25.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
38,"[31.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
38,"[31.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,64
39,"[30.0, 79.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,64
