Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[15.0, 38.0, 7.0, 17.0, 5.0, 30.0, 0, 0, 0, 0]",0,6,0.0001,64
1,"[16.0, 41.0, 7.0, 15.0, 5.0, 30.0, 0, 0, 0, 0]",1,6,0.0001,64
1,"[16.0, 45.0, 7.0, 15.0, 5.0, 29.0, 0, 0, 0, 0]",2,6,0.0001,64
1,"[16.0, 45.0, 7.0, 15.0, 5.0, 29.0, 0, 0, 0, 0]",3,6,0.0001,64
1,"[17.0, 46.0, 7.0, 16.0, 5.0, 26.0, 0, 0, 0, 0]",4,6,0.0001,64
1,"[17.0, 45.0, 7.0, 18.0, 5.0, 27.0, 0, 0, 0, 0]",5,6,0.0001,64
2,"[10.0, 58.0, 8.0, 27.0, 4.0, 22.0, 0, 0, 0, 0]",0,6,0.0001,64
2,"[10.0, 60.0, 8.0, 27.0, 4.0, 22.0, 0, 0, 0, 0]",1,6,0.0001,64
2,"[11.0, 60.0, 8.0, 27.0, 4.0, 22.0, 0, 0, 0, 0]",2,6,0.0001,64
2,"[11.0, 60.0, 8.0, 27.0, 4.0, 21.0, 0, 0, 0, 0]",3,6,0.0001,64
2,"[12.0, 58.0, 9.0, 27.0, 4.0, 20.0, 0, 0, 0, 0]",4,6,0.0001,64
2,"[12.0, 57.0, 9.0, 28.0, 4.0, 20.0, 0, 0, 0, 0]",5,6,0.0001,64
3,"[16.0, 48.0, 9.0, 29.0, 5.0, 27.0, 0, 0, 0, 0]",0,6,0.0001,64
3,"[16.0, 48.0, 9.0, 27.0, 5.0, 27.0, 0, 0, 0, 0]",1,6,0.0001,64
3,"[18.0, 49.0, 9.0, 27.0, 5.0, 26.0, 0, 0, 0, 0]",2,6,0.0001,64
3,"[18.0, 49.0, 9.0, 28.0, 5.0, 26.0, 0, 0, 0, 0]",3,6,0.0001,64
3,"[17.0, 49.0, 9.0, 31.0, 5.0, 25.0, 0, 0, 0, 0]",4,6,0.0001,64
3,"[17.0, 49.0, 9.0, 31.0, 5.0, 25.0, 0, 0, 0, 0]",5,6,0.0001,64
4,"[26.0, 53.0, 7.0, 25.0, 4.0, 33.0, 0, 0, 0, 0]",0,6,0.0001,64
4,"[27.0, 54.0, 6.0, 25.0, 4.0, 33.0, 0, 0, 0, 0]",1,6,0.0001,64
