Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[20.0, 0.0, 5.0, 0.0, 0.0, 4.0, 27.0, 0.0, 0, 0]",0,8,1e-06,1024
1,"[21.0, 0.0, 5.0, 0.0, 0.0, 4.0, 27.0, 0.0, 0, 0]",1,8,1e-06,1024
1,"[21.0, 0.0, 5.0, 0.0, 0.0, 4.0, 27.0, 0.0, 0, 0]",2,8,1e-06,1024
1,"[21.0, 0.0, 5.0, 0.0, 0.0, 4.0, 27.0, 0.0, 0, 0]",3,8,1e-06,1024
1,"[21.0, 0.0, 5.0, 0.0, 0.0, 4.0, 27.0, 0.0, 0, 0]",4,8,1e-06,1024
1,"[21.0, 0.0, 5.0, 0.0, 0.0, 4.0, 27.0, 0.0, 0, 0]",5,8,1e-06,1024
1,"[21.0, 0.0, 5.0, 0.0, 0.0, 4.0, 27.0, 0.0, 0, 0]",6,8,1e-06,1024
1,"[21.0, 0.0, 5.0, 0.0, 0.0, 4.0, 27.0, 0.0, 0, 0]",7,8,1e-06,1024
2,"[23.0, 0.0, 6.0, 1.0, 0.0, 11.0, 17.0, 0.0, 0, 0]",0,8,1e-06,1024
2,"[23.0, 0.0, 6.0, 1.0, 0.0, 10.0, 17.0, 0.0, 0, 0]",1,8,1e-06,1024
2,"[23.0, 0.0, 6.0, 1.0, 0.0, 10.0, 17.0, 0.0, 0, 0]",2,8,1e-06,1024
2,"[23.0, 0.0, 6.0, 1.0, 0.0, 10.0, 17.0, 0.0, 0, 0]",3,8,1e-06,1024
2,"[23.0, 0.0, 6.0, 1.0, 0.0, 10.0, 17.0, 0.0, 0, 0]",4,8,1e-06,1024
2,"[23.0, 0.0, 6.0, 1.0, 0.0, 11.0, 17.0, 0.0, 0, 0]",5,8,1e-06,1024
2,"[23.0, 0.0, 6.0, 1.0, 0.0, 11.0, 17.0, 0.0, 0, 0]",6,8,1e-06,1024
2,"[23.0, 0.0, 6.0, 1.0, 0.0, 10.0, 17.0, 0.0, 0, 0]",7,8,1e-06,1024
3,"[23.0, 0.0, 13.0, 0.0, 0.0, 13.0, 18.0, 0.0, 0, 0]",0,8,1e-06,1024
3,"[23.0, 0.0, 13.0, 0.0, 0.0, 13.0, 18.0, 0.0, 0, 0]",1,8,1e-06,1024
3,"[23.0, 0.0, 13.0, 0.0, 0.0, 13.0, 18.0, 0.0, 0, 0]",2,8,1e-06,1024
3,"[23.0, 0.0, 13.0, 0.0, 0.0, 13.0, 18.0, 0.0, 0, 0]",3,8,1e-06,1024
3,"[23.0, 0.0, 13.0, 0.0, 0.0, 13.0, 18.0, 0.0, 0, 0]",4,8,1e-06,1024
3,"[23.0, 0.0, 13.0, 0.0, 0.0, 13.0, 18.0, 0.0, 0, 0]",5,8,1e-06,1024
3,"[23.0, 0.0, 13.0, 0.0, 0.0, 13.0, 18.0, 0.0, 0, 0]",6,8,1e-06,1024
3,"[23.0, 0.0, 13.0, 0.0, 0.0, 13.0, 18.0, 0.0, 0, 0]",7,8,1e-06,1024
4,"[23.0, 0.0, 6.0, 0.0, 0.0, 6.0, 21.0, 0.0, 0, 0]",0,8,1e-06,1024
4,"[23.0, 0.0, 6.0, 0.0, 0.0, 6.0, 21.0, 0.0, 0, 0]",1,8,1e-06,1024
4,"[23.0, 0.0, 6.0, 0.0, 0.0, 6.0, 21.0, 0.0, 0, 0]",2,8,1e-06,1024
4,"[23.0, 0.0, 6.0, 0.0, 0.0, 6.0, 21.0, 0.0, 0, 0]",3,8,1e-06,1024
4,"[23.0, 0.0, 6.0, 0.0, 0.0, 6.0, 21.0, 0.0, 0, 0]",4,8,1e-06,1024
