Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[3.0, 57.0, 6.0, 29.0, 0, 0, 0, 0, 0, 0]",0,4,1e-05,64
1,"[3.0, 58.0, 6.0, 29.0, 0, 0, 0, 0, 0, 0]",1,4,1e-05,64
1,"[3.0, 58.0, 6.0, 29.0, 0, 0, 0, 0, 0, 0]",2,4,1e-05,64
1,"[3.0, 58.0, 6.0, 29.0, 0, 0, 0, 0, 0, 0]",3,4,1e-05,64
2,"[5.0, 51.0, 4.0, 31.0, 0, 0, 0, 0, 0, 0]",0,4,1e-05,64
2,"[5.0, 51.0, 4.0, 31.0, 0, 0, 0, 0, 0, 0]",1,4,1e-05,64
2,"[5.0, 51.0, 4.0, 31.0, 0, 0, 0, 0, 0, 0]",2,4,1e-05,64
2,"[5.0, 51.0, 4.0, 31.0, 0, 0, 0, 0, 0, 0]",3,4,1e-05,64
3,"[2.0, 58.0, 7.0, 28.0, 0, 0, 0, 0, 0, 0]",0,4,1e-05,64
3,"[2.0, 58.0, 7.0, 28.0, 0, 0, 0, 0, 0, 0]",1,4,1e-05,64
3,"[2.0, 58.0, 7.0, 28.0, 0, 0, 0, 0, 0, 0]",2,4,1e-05,64
3,"[2.0, 58.0, 7.0, 28.0, 0, 0, 0, 0, 0, 0]",3,4,1e-05,64
4,"[7.0, 52.0, 9.0, 31.0, 0, 0, 0, 0, 0, 0]",0,4,1e-05,64
4,"[7.0, 52.0, 9.0, 31.0, 0, 0, 0, 0, 0, 0]",1,4,1e-05,64
4,"[7.0, 52.0, 9.0, 31.0, 0, 0, 0, 0, 0, 0]",2,4,1e-05,64
4,"[7.0, 52.0, 9.0, 31.0, 0, 0, 0, 0, 0, 0]",3,4,1e-05,64
5,"[4.0, 51.0, 4.0, 29.0, 0, 0, 0, 0, 0, 0]",0,4,1e-05,64
5,"[4.0, 51.0, 4.0, 29.0, 0, 0, 0, 0, 0, 0]",1,4,1e-05,64
5,"[4.0, 51.0, 4.0, 29.0, 0, 0, 0, 0, 0, 0]",2,4,1e-05,64
5,"[4.0, 51.0, 4.0, 29.0, 0, 0, 0, 0, 0, 0]",3,4,1e-05,64
6,"[8.0, 53.0, 8.0, 29.0, 0, 0, 0, 0, 0, 0]",0,4,1e-05,64
6,"[8.0, 53.0, 8.0, 29.0, 0, 0, 0, 0, 0, 0]",1,4,1e-05,64
6,"[8.0, 53.0, 8.0, 29.0, 0, 0, 0, 0, 0, 0]",2,4,1e-05,64
6,"[8.0, 53.0, 8.0, 29.0, 0, 0, 0, 0, 0, 0]",3,4,1e-05,64
7,"[6.0, 50.0, 8.0, 27.0, 0, 0, 0, 0, 0, 0]",0,4,1e-05,64
7,"[6.0, 50.0, 8.0, 27.0, 0, 0, 0, 0, 0, 0]",1,4,1e-05,64
7,"[6.0, 50.0, 8.0, 27.0, 0, 0, 0, 0, 0, 0]",2,4,1e-05,64
