Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[0.0, 30.0, 5.0, 7.0, 37.0, 2.0, 30.0, 0.0, 5.0, 0]",0,9,0.0001,64
1,"[0.0, 32.0, 5.0, 7.0, 37.0, 1.0, 30.0, 0.0, 5.0, 0]",1,9,0.0001,64
1,"[0.0, 32.0, 8.0, 7.0, 37.0, 1.0, 29.0, 0.0, 4.0, 0]",2,9,0.0001,64
1,"[0.0, 32.0, 9.0, 7.0, 37.0, 1.0, 29.0, 0.0, 4.0, 0]",3,9,0.0001,64
1,"[0.0, 33.0, 9.0, 7.0, 37.0, 1.0, 27.0, 0.0, 4.0, 0]",4,9,0.0001,64
1,"[0.0, 34.0, 9.0, 7.0, 37.0, 1.0, 27.0, 0.0, 3.0, 0]",5,9,0.0001,64
1,"[0.0, 34.0, 9.0, 7.0, 37.0, 1.0, 27.0, 0.0, 2.0, 0]",6,9,0.0001,64
1,"[0.0, 35.0, 9.0, 7.0, 37.0, 1.0, 27.0, 0.0, 2.0, 0]",7,9,0.0001,64
1,"[0.0, 34.0, 9.0, 7.0, 37.0, 1.0, 28.0, 0.0, 2.0, 0]",8,9,0.0001,64
2,"[6.0, 30.0, 11.0, 7.0, 41.0, 5.0, 22.0, 0.0, 2.0, 0]",0,9,0.0001,64
2,"[6.0, 31.0, 11.0, 7.0, 41.0, 5.0, 23.0, 0.0, 2.0, 0]",1,9,0.0001,64
2,"[6.0, 31.0, 11.0, 7.0, 39.0, 5.0, 22.0, 0.0, 2.0, 0]",2,9,0.0001,64
2,"[6.0, 32.0, 12.0, 7.0, 39.0, 5.0, 22.0, 0.0, 2.0, 0]",3,9,0.0001,64
2,"[6.0, 33.0, 12.0, 10.0, 40.0, 5.0, 22.0, 0.0, 2.0, 0]",4,9,0.0001,64
2,"[6.0, 33.0, 12.0, 12.0, 40.0, 5.0, 22.0, 0.0, 2.0, 0]",5,9,0.0001,64
2,"[6.0, 31.0, 12.0, 12.0, 41.0, 5.0, 22.0, 0.0, 2.0, 0]",6,9,0.0001,64
2,"[6.0, 31.0, 12.0, 12.0, 39.0, 5.0, 23.0, 0.0, 2.0, 0]",7,9,0.0001,64
2,"[6.0, 30.0, 12.0, 13.0, 39.0, 5.0, 24.0, 0.0, 2.0, 0]",8,9,0.0001,64
3,"[6.0, 26.0, 12.0, 11.0, 30.0, 5.0, 36.0, 0.0, 9.0, 0]",0,9,0.0001,64
3,"[6.0, 27.0, 12.0, 11.0, 30.0, 5.0, 36.0, 0.0, 9.0, 0]",1,9,0.0001,64
3,"[6.0, 27.0, 12.0, 11.0, 30.0, 5.0, 36.0, 0.0, 9.0, 0]",2,9,0.0001,64
3,"[6.0, 27.0, 13.0, 11.0, 30.0, 5.0, 37.0, 0.0, 9.0, 0]",3,9,0.0001,64
3,"[6.0, 27.0, 13.0, 11.0, 30.0, 5.0, 36.0, 0.0, 9.0, 0]",4,9,0.0001,64
3,"[6.0, 27.0, 12.0, 11.0, 30.0, 5.0, 36.0, 0.0, 9.0, 0]",5,9,0.0001,64
3,"[6.0, 27.0, 12.0, 11.0, 30.0, 5.0, 36.0, 0.0, 9.0, 0]",6,9,0.0001,64
3,"[6.0, 26.0, 12.0, 11.0, 30.0, 5.0, 38.0, 0.0, 9.0, 0]",7,9,0.0001,64
3,"[6.0, 26.0, 12.0, 11.0, 30.0, 5.0, 40.0, 0.0, 9.0, 0]",8,9,0.0001,64
4,"[7.0, 30.0, 12.0, 18.0, 34.0, 3.0, 28.0, 0.0, 5.0, 0]",0,9,0.0001,64
