Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[54.0, 0.0, 5.0, 0.0, 0.0, 4.0, 0.0, 13.0, 3.0, 0]",0,9,0.001,128
1,"[96.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0]",1,9,0.001,128
1,"[98.0, 13.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0]",2,9,0.001,128
1,"[97.0, 17.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0]",3,9,0.001,128
1,"[97.0, 21.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0]",4,9,0.001,128
1,"[96.0, 23.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0]",5,9,0.001,128
1,"[95.0, 23.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0]",6,9,0.001,128
1,"[94.0, 23.0, 9.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0]",7,9,0.001,128
1,"[92.0, 23.0, 10.0, 4.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0]",8,9,0.001,128
2,"[96.0, 25.0, 4.0, 0.0, 1.0, 1.0, 4.0, 0.0, 0.0, 0]",0,9,0.001,128
2,"[100.0, 27.0, 3.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0]",1,9,0.001,128
2,"[99.0, 28.0, 2.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0]",2,9,0.001,128
2,"[98.0, 33.0, 5.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0]",3,9,0.001,128
2,"[96.0, 34.0, 7.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0]",4,9,0.001,128
2,"[95.0, 35.0, 11.0, 1.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0]",5,9,0.001,128
2,"[93.0, 35.0, 11.0, 1.0, 7.0, 1.0, 9.0, 0.0, 0.0, 0]",6,9,0.001,128
2,"[92.0, 28.0, 11.0, 3.0, 9.0, 2.0, 46.0, 0.0, 0.0, 0]",7,9,0.001,128
2,"[91.0, 22.0, 11.0, 4.0, 6.0, 6.0, 72.0, 1.0, 1.0, 0]",8,9,0.001,128
3,"[96.0, 12.0, 8.0, 3.0, 2.0, 2.0, 86.0, 0.0, 6.0, 0]",0,9,0.001,128
3,"[99.0, 17.0, 3.0, 1.0, 1.0, 1.0, 82.0, 0.0, 7.0, 0]",1,9,0.001,128
3,"[100.0, 22.0, 5.0, 0.0, 0.0, 0.0, 76.0, 0.0, 8.0, 0]",2,9,0.001,128
3,"[99.0, 28.0, 11.0, 1.0, 0.0, 0.0, 72.0, 0.0, 7.0, 0]",3,9,0.001,128
3,"[95.0, 29.0, 11.0, 2.0, 1.0, 0.0, 67.0, 0.0, 7.0, 0]",4,9,0.001,128
3,"[88.0, 29.0, 12.0, 9.0, 4.0, 0.0, 65.0, 0.0, 7.0, 0]",5,9,0.001,128
3,"[84.0, 19.0, 13.0, 12.0, 3.0, 2.0, 84.0, 0.0, 4.0, 0]",6,9,0.001,128
3,"[79.0, 12.0, 10.0, 17.0, 4.0, 6.0, 91.0, 0.0, 3.0, 0]",7,9,0.001,128
3,"[77.0, 4.0, 9.0, 22.0, 2.0, 9.0, 95.0, 0.0, 5.0, 0]",8,9,0.001,128
4,"[88.0, 1.0, 5.0, 3.0, 1.0, 8.0, 97.0, 1.0, 5.0, 0]",0,9,0.001,128
4,"[99.0, 1.0, 3.0, 2.0, 0.0, 4.0, 97.0, 1.0, 6.0, 0]",1,9,0.001,128
4,"[100.0, 6.0, 4.0, 0.0, 0.0, 2.0, 97.0, 1.0, 8.0, 0]",2,9,0.001,128
4,"[99.0, 11.0, 11.0, 1.0, 0.0, 1.0, 95.0, 1.0, 10.0, 0]",3,9,0.001,128
4,"[97.0, 14.0, 14.0, 2.0, 1.0, 1.0, 94.0, 0.0, 11.0, 0]",4,9,0.001,128
4,"[91.0, 16.0, 17.0, 3.0, 2.0, 2.0, 94.0, 0.0, 11.0, 0]",5,9,0.001,128
4,"[82.0, 9.0, 15.0, 7.0, 1.0, 9.0, 97.0, 0.0, 6.0, 0]",6,9,0.001,128
4,"[79.0, 2.0, 13.0, 9.0, 2.0, 9.0, 98.0, 0.0, 2.0, 0]",7,9,0.001,128
4,"[75.0, 1.0, 13.0, 14.0, 1.0, 11.0, 98.0, 2.0, 3.0, 0]",8,9,0.001,128
5,"[91.0, 4.0, 6.0, 7.0, 1.0, 14.0, 98.0, 3.0, 5.0, 0]",0,9,0.001,128
5,"[99.0, 6.0, 2.0, 0.0, 1.0, 12.0, 95.0, 1.0, 7.0, 0]",1,9,0.001,128
5,"[100.0, 14.0, 4.0, 0.0, 1.0, 7.0, 90.0, 0.0, 10.0, 0]",2,9,0.001,128
5,"[100.0, 16.0, 9.0, 0.0, 0.0, 3.0, 86.0, 0.0, 12.0, 0]",3,9,0.001,128
5,"[98.0, 20.0, 9.0, 2.0, 1.0, 1.0, 85.0, 0.0, 12.0, 0]",4,9,0.001,128
5,"[91.0, 18.0, 9.0, 6.0, 6.0, 4.0, 85.0, 0.0, 12.0, 0]",5,9,0.001,128
5,"[85.0, 13.0, 9.0, 11.0, 5.0, 9.0, 95.0, 0.0, 7.0, 0]",6,9,0.001,128
