Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[9.0, 10.0, 30.0, 46.0, 0.0, 0.0, 30.0, 1.0, 0.0, 0]",0,9,1e-06,512
1,"[10.0, 10.0, 30.0, 46.0, 0.0, 0.0, 30.0, 1.0, 0.0, 0]",1,9,1e-06,512
1,"[10.0, 11.0, 30.0, 46.0, 0.0, 0.0, 30.0, 1.0, 0.0, 0]",2,9,1e-06,512
1,"[10.0, 10.0, 30.0, 46.0, 0.0, 0.0, 30.0, 1.0, 0.0, 0]",3,9,1e-06,512
1,"[9.0, 10.0, 30.0, 46.0, 0.0, 0.0, 30.0, 1.0, 0.0, 0]",4,9,1e-06,512
1,"[9.0, 10.0, 30.0, 46.0, 0.0, 0.0, 30.0, 1.0, 0.0, 0]",5,9,1e-06,512
1,"[9.0, 10.0, 30.0, 46.0, 0.0, 0.0, 30.0, 1.0, 0.0, 0]",6,9,1e-06,512
1,"[9.0, 10.0, 30.0, 46.0, 0.0, 0.0, 30.0, 1.0, 0.0, 0]",7,9,1e-06,512
1,"[9.0, 10.0, 30.0, 46.0, 0.0, 0.0, 30.0, 1.0, 0.0, 0]",8,9,1e-06,512
2,"[10.0, 9.0, 25.0, 38.0, 0.0, 0.0, 29.0, 2.0, 1.0, 0]",0,9,1e-06,512
2,"[10.0, 9.0, 25.0, 38.0, 0.0, 0.0, 29.0, 2.0, 1.0, 0]",1,9,1e-06,512
2,"[10.0, 9.0, 25.0, 38.0, 0.0, 0.0, 29.0, 2.0, 1.0, 0]",2,9,1e-06,512
2,"[10.0, 9.0, 25.0, 38.0, 0.0, 0.0, 29.0, 2.0, 1.0, 0]",3,9,1e-06,512
2,"[10.0, 9.0, 25.0, 38.0, 0.0, 0.0, 29.0, 2.0, 1.0, 0]",4,9,1e-06,512
2,"[10.0, 9.0, 25.0, 38.0, 0.0, 0.0, 29.0, 2.0, 1.0, 0]",5,9,1e-06,512
2,"[10.0, 9.0, 25.0, 38.0, 0.0, 0.0, 29.0, 2.0, 1.0, 0]",6,9,1e-06,512
2,"[10.0, 9.0, 25.0, 38.0, 0.0, 0.0, 29.0, 2.0, 1.0, 0]",7,9,1e-06,512
2,"[10.0, 9.0, 25.0, 38.0, 0.0, 0.0, 29.0, 2.0, 1.0, 0]",8,9,1e-06,512
3,"[8.0, 8.0, 28.0, 43.0, 0.0, 0.0, 32.0, 4.0, 1.0, 0]",0,9,1e-06,512
3,"[9.0, 8.0, 28.0, 42.0, 0.0, 0.0, 32.0, 4.0, 1.0, 0]",1,9,1e-06,512
3,"[9.0, 8.0, 28.0, 42.0, 0.0, 0.0, 32.0, 4.0, 1.0, 0]",2,9,1e-06,512
3,"[9.0, 8.0, 28.0, 43.0, 0.0, 0.0, 32.0, 4.0, 1.0, 0]",3,9,1e-06,512
3,"[9.0, 8.0, 28.0, 43.0, 0.0, 0.0, 32.0, 4.0, 1.0, 0]",4,9,1e-06,512
3,"[9.0, 8.0, 28.0, 43.0, 0.0, 0.0, 32.0, 4.0, 1.0, 0]",5,9,1e-06,512
3,"[9.0, 8.0, 28.0, 43.0, 0.0, 0.0, 32.0, 4.0, 1.0, 0]",6,9,1e-06,512
3,"[8.0, 8.0, 28.0, 43.0, 0.0, 0.0, 32.0, 4.0, 1.0, 0]",7,9,1e-06,512
3,"[8.0, 8.0, 28.0, 43.0, 0.0, 0.0, 32.0, 4.0, 1.0, 0]",8,9,1e-06,512
4,"[4.0, 10.0, 16.0, 43.0, 1.0, 0.0, 24.0, 2.0, 1.0, 0]",0,9,1e-06,512
4,"[4.0, 11.0, 16.0, 43.0, 1.0, 0.0, 24.0, 2.0, 1.0, 0]",1,9,1e-06,512
4,"[4.0, 11.0, 16.0, 43.0, 1.0, 0.0, 24.0, 2.0, 1.0, 0]",2,9,1e-06,512
4,"[4.0, 11.0, 16.0, 43.0, 1.0, 0.0, 24.0, 2.0, 1.0, 0]",3,9,1e-06,512
4,"[4.0, 10.0, 16.0, 43.0, 1.0, 0.0, 24.0, 2.0, 1.0, 0]",4,9,1e-06,512
4,"[4.0, 10.0, 16.0, 43.0, 1.0, 0.0, 24.0, 2.0, 1.0, 0]",5,9,1e-06,512
4,"[4.0, 10.0, 16.0, 43.0, 1.0, 0.0, 24.0, 2.0, 1.0, 0]",6,9,1e-06,512
4,"[4.0, 10.0, 16.0, 43.0, 1.0, 0.0, 24.0, 2.0, 1.0, 0]",7,9,1e-06,512
4,"[4.0, 10.0, 16.0, 43.0, 1.0, 0.0, 24.0, 2.0, 1.0, 0]",8,9,1e-06,512
5,"[13.0, 11.0, 21.0, 44.0, 1.0, 0.0, 32.0, 7.0, 0.0, 0]",0,9,1e-06,512
5,"[13.0, 11.0, 21.0, 44.0, 1.0, 0.0, 31.0, 7.0, 0.0, 0]",1,9,1e-06,512
5,"[13.0, 11.0, 21.0, 44.0, 1.0, 0.0, 31.0, 7.0, 0.0, 0]",2,9,1e-06,512
5,"[13.0, 11.0, 21.0, 44.0, 1.0, 0.0, 31.0, 7.0, 0.0, 0]",3,9,1e-06,512
5,"[13.0, 11.0, 21.0, 44.0, 1.0, 0.0, 31.0, 7.0, 0.0, 0]",4,9,1e-06,512
5,"[13.0, 11.0, 21.0, 44.0, 1.0, 0.0, 31.0, 7.0, 0.0, 0]",5,9,1e-06,512
5,"[13.0, 11.0, 21.0, 44.0, 1.0, 0.0, 32.0, 7.0, 0.0, 0]",6,9,1e-06,512
5,"[13.0, 11.0, 21.0, 44.0, 1.0, 0.0, 33.0, 7.0, 0.0, 0]",7,9,1e-06,512
5,"[13.0, 11.0, 21.0, 44.0, 1.0, 0.0, 33.0, 7.0, 0.0, 0]",8,9,1e-06,512
6,"[10.0, 14.0, 23.0, 42.0, 0.0, 0.0, 28.0, 2.0, 1.0, 0]",0,9,1e-06,512
6,"[10.0, 14.0, 23.0, 42.0, 0.0, 0.0, 28.0, 2.0, 1.0, 0]",1,9,1e-06,512
6,"[10.0, 14.0, 23.0, 42.0, 0.0, 0.0, 28.0, 2.0, 1.0, 0]",2,9,1e-06,512
6,"[10.0, 14.0, 23.0, 42.0, 0.0, 0.0, 28.0, 2.0, 1.0, 0]",3,9,1e-06,512
