Accuracy,Num classes,Learning rate
99.26062846580406,2,0.0001
99.26062846580406,2,0.0001
99.38385705483672,2,0.0001
99.13739987677141,2,0.0001
99.19901417128774,2,0.0001
88.5762284754305,3,0.0001
89.58420831583368,3,0.0001
89.20621587568249,3,0.0001
89.58420831583368,3,0.0001
90.29819403611928,3,0.0001
86.26649905719673,4,0.0001
85.95223130106851,4,0.0001
86.04651162790698,4,0.0001
87.55499685732244,4,0.0001
86.89503456945317,4,0.0001
80.72955974842768,5,0.0001
80.70440251572327,5,0.0001
80.93081761006289,5,0.0001
82.33962264150944,5,0.0001
81.08176100628931,5,0.0001
72.8781512605042,6,0.0001
69.4327731092437,6,0.0001
65.69327731092437,6,0.0001
68.65546218487395,6,0.0001
71.49159663865547,6,0.0001
75.20528382720457,7,0.0001
76.7583006069261,7,0.0001
75.65155301677972,7,0.0001
76.65119600142806,7,0.0001
76.41913602284899,7,0.0001
68.75978703413718,8,0.0001
67.58534293767616,8,0.0001
66.67710616974632,8,0.0001
68.54055746946446,8,0.0001
66.91199498903852,8,0.0001
76.32533482142857,9,0.0001
75.71149553571429,9,0.0001
75.53013392857143,9,0.0001
76.68805803571429,9,0.0001
75.99051339285714,9,0.0001
71.4875,10,0.0001
71.475,10,0.0001
71.1875,10,0.0001
70.9125,10,0.0001
70.9125,10,0.0001
