Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[24.0, 87.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
1,"[25.0, 87.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
2,"[17.0, 94.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
2,"[18.0, 94.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
3,"[18.0, 89.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
3,"[18.0, 89.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
4,"[25.0, 86.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
4,"[25.0, 87.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
5,"[25.0, 84.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
5,"[26.0, 84.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
6,"[27.0, 86.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
6,"[28.0, 86.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
7,"[19.0, 85.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
7,"[20.0, 85.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
8,"[28.0, 84.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
8,"[28.0, 84.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
9,"[27.0, 86.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
9,"[27.0, 86.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
10,"[33.0, 90.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
10,"[33.0, 90.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
11,"[33.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
11,"[34.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
12,"[35.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
12,"[35.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
13,"[34.0, 83.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
13,"[34.0, 83.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
14,"[38.0, 79.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
14,"[39.0, 79.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
15,"[30.0, 83.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
15,"[30.0, 83.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
16,"[38.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
16,"[38.0, 83.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
17,"[42.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
17,"[42.0, 81.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
18,"[40.0, 86.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
18,"[40.0, 86.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
19,"[43.0, 88.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
19,"[43.0, 88.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
20,"[41.0, 86.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
20,"[41.0, 86.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-05,256
21,"[37.0, 80.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-05,256
