Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[100.0, 13.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
1,"[100.0, 40.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
2,"[100.0, 52.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
2,"[99.0, 73.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
3,"[100.0, 77.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
3,"[99.0, 82.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
4,"[100.0, 83.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
4,"[99.0, 87.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
5,"[99.0, 91.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
5,"[99.0, 92.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
6,"[98.0, 88.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
6,"[96.0, 91.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
7,"[96.0, 93.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
7,"[96.0, 93.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
8,"[99.0, 92.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
8,"[99.0, 93.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
9,"[99.0, 91.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
9,"[99.0, 93.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
10,"[98.0, 92.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
10,"[97.0, 92.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
11,"[98.0, 96.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
11,"[98.0, 96.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
12,"[99.0, 92.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
12,"[99.0, 92.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
13,"[97.0, 96.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
13,"[97.0, 96.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
14,"[96.0, 93.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
14,"[96.0, 94.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
15,"[99.0, 97.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
15,"[99.0, 97.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
16,"[97.0, 95.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
16,"[97.0, 96.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
17,"[98.0, 95.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
17,"[99.0, 95.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
18,"[98.0, 94.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
18,"[98.0, 94.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
19,"[99.0, 97.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
19,"[98.0, 97.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
20,"[97.0, 98.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
20,"[97.0, 98.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
21,"[99.0, 92.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
21,"[99.0, 92.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
22,"[99.0, 93.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
22,"[99.0, 93.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
23,"[98.0, 94.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
23,"[96.0, 94.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
24,"[100.0, 95.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
24,"[99.0, 96.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
25,"[98.0, 94.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
25,"[98.0, 93.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
26,"[95.0, 97.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
26,"[95.0, 97.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
27,"[94.0, 95.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
27,"[94.0, 95.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
28,"[97.0, 95.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
28,"[97.0, 95.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
29,"[97.0, 97.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
29,"[97.0, 97.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
30,"[98.0, 94.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
30,"[98.0, 94.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
31,"[96.0, 99.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
31,"[96.0, 100.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
32,"[98.0, 98.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
32,"[98.0, 99.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
33,"[100.0, 95.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
33,"[100.0, 95.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
34,"[98.0, 98.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
34,"[99.0, 98.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
35,"[94.0, 94.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
35,"[95.0, 95.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
36,"[96.0, 98.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
36,"[96.0, 98.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
37,"[99.0, 99.0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,0.001,256
37,"[99.0, 99.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,0.001,256
