Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[48.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
1,"[48.0, 27.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
1,"[48.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
1,"[48.0, 27.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
2,"[43.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
2,"[43.0, 25.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
2,"[43.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
2,"[43.0, 25.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
3,"[52.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
3,"[52.0, 31.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
3,"[52.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
3,"[52.0, 31.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
4,"[52.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
4,"[52.0, 29.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
4,"[52.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
4,"[52.0, 29.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
5,"[56.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
5,"[56.0, 25.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
5,"[56.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
5,"[56.0, 25.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
6,"[41.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
6,"[41.0, 26.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
6,"[41.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
6,"[41.0, 26.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
7,"[48.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
7,"[48.0, 24.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
7,"[48.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
7,"[48.0, 24.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
8,"[48.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
8,"[48.0, 38.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
8,"[48.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
8,"[48.0, 38.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
9,"[56.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
9,"[56.0, 20.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
9,"[56.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
9,"[56.0, 20.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
10,"[44.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
10,"[44.0, 37.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
10,"[44.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
10,"[44.0, 37.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
11,"[43.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
11,"[43.0, 28.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
11,"[43.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
11,"[43.0, 28.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
12,"[55.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
12,"[55.0, 28.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
12,"[55.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
12,"[55.0, 28.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
13,"[56.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
13,"[56.0, 36.0, 0, 0, 0, 0, 0, 0, 0, 0]",1,2,1e-06,128
13,"[56.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,2,1e-06,128
