Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[18.0, 0.0, 15.0, 1.0, 6.0, 2.0, 4.0, 28.0, 16.0, 0]",0,9,1e-05,128
1,"[18.0, 0.0, 15.0, 1.0, 6.0, 2.0, 4.0, 28.0, 16.0, 0]",1,9,1e-05,128
1,"[18.0, 0.0, 15.0, 1.0, 6.0, 2.0, 4.0, 28.0, 16.0, 0]",2,9,1e-05,128
1,"[18.0, 0.0, 15.0, 1.0, 6.0, 2.0, 4.0, 28.0, 15.0, 0]",3,9,1e-05,128
1,"[18.0, 0.0, 15.0, 1.0, 6.0, 2.0, 4.0, 26.0, 15.0, 0]",4,9,1e-05,128
1,"[18.0, 0.0, 15.0, 1.0, 6.0, 2.0, 4.0, 26.0, 15.0, 0]",5,9,1e-05,128
1,"[18.0, 0.0, 15.0, 1.0, 6.0, 2.0, 4.0, 26.0, 15.0, 0]",6,9,1e-05,128
1,"[18.0, 0.0, 15.0, 1.0, 6.0, 2.0, 4.0, 26.0, 15.0, 0]",7,9,1e-05,128
1,"[18.0, 0.0, 15.0, 1.0, 6.0, 2.0, 4.0, 26.0, 15.0, 0]",8,9,1e-05,128
2,"[16.0, 1.0, 13.0, 3.0, 9.0, 2.0, 10.0, 31.0, 8.0, 0]",0,9,1e-05,128
2,"[16.0, 1.0, 13.0, 3.0, 9.0, 2.0, 10.0, 31.0, 8.0, 0]",1,9,1e-05,128
2,"[16.0, 1.0, 13.0, 3.0, 9.0, 2.0, 10.0, 31.0, 8.0, 0]",2,9,1e-05,128
2,"[16.0, 1.0, 13.0, 3.0, 9.0, 2.0, 10.0, 31.0, 8.0, 0]",3,9,1e-05,128
2,"[16.0, 1.0, 13.0, 3.0, 9.0, 1.0, 10.0, 31.0, 8.0, 0]",4,9,1e-05,128
2,"[16.0, 1.0, 13.0, 3.0, 10.0, 2.0, 10.0, 31.0, 8.0, 0]",5,9,1e-05,128
2,"[16.0, 1.0, 13.0, 3.0, 10.0, 2.0, 10.0, 31.0, 8.0, 0]",6,9,1e-05,128
2,"[16.0, 1.0, 13.0, 3.0, 9.0, 2.0, 10.0, 31.0, 8.0, 0]",7,9,1e-05,128
2,"[16.0, 1.0, 13.0, 3.0, 9.0, 2.0, 10.0, 31.0, 9.0, 0]",8,9,1e-05,128
