Cycle,Class Accuracy,Last class trained,Num classes,Learning rate,Num samples
1,"[0.0, 14.0, 86.0, 0.0, 0.0, 0, 0, 0, 0, 0]",0,5,1e-05,32
1,"[0.0, 14.0, 86.0, 0.0, 0.0, 0, 0, 0, 0, 0]",1,5,1e-05,32
1,"[0.0, 14.0, 86.0, 0.0, 0.0, 0, 0, 0, 0, 0]",2,5,1e-05,32
1,"[0.0, 14.0, 86.0, 0.0, 0.0, 0, 0, 0, 0, 0]",3,5,1e-05,32
1,"[0.0, 14.0, 86.0, 0.0, 0.0, 0, 0, 0, 0, 0]",4,5,1e-05,32
2,"[0.0, 16.0, 87.0, 0.0, 1.0, 0, 0, 0, 0, 0]",0,5,1e-05,32
2,"[0.0, 16.0, 87.0, 0.0, 1.0, 0, 0, 0, 0, 0]",1,5,1e-05,32
2,"[0.0, 16.0, 87.0, 0.0, 1.0, 0, 0, 0, 0, 0]",2,5,1e-05,32
2,"[0.0, 16.0, 87.0, 0.0, 1.0, 0, 0, 0, 0, 0]",3,5,1e-05,32
2,"[0.0, 16.0, 87.0, 0.0, 1.0, 0, 0, 0, 0, 0]",4,5,1e-05,32
3,"[0.0, 9.0, 82.0, 0.0, 0.0, 0, 0, 0, 0, 0]",0,5,1e-05,32
3,"[0.0, 9.0, 82.0, 0.0, 0.0, 0, 0, 0, 0, 0]",1,5,1e-05,32
3,"[0.0, 9.0, 82.0, 0.0, 0.0, 0, 0, 0, 0, 0]",2,5,1e-05,32
3,"[0.0, 9.0, 82.0, 0.0, 0.0, 0, 0, 0, 0, 0]",3,5,1e-05,32
3,"[0.0, 9.0, 82.0, 0.0, 0.0, 0, 0, 0, 0, 0]",4,5,1e-05,32
4,"[0.0, 11.0, 85.0, 0.0, 1.0, 0, 0, 0, 0, 0]",0,5,1e-05,32
4,"[0.0, 11.0, 85.0, 0.0, 1.0, 0, 0, 0, 0, 0]",1,5,1e-05,32
4,"[0.0, 11.0, 85.0, 0.0, 1.0, 0, 0, 0, 0, 0]",2,5,1e-05,32
4,"[0.0, 11.0, 85.0, 0.0, 1.0, 0, 0, 0, 0, 0]",3,5,1e-05,32
4,"[0.0, 11.0, 85.0, 0.0, 1.0, 0, 0, 0, 0, 0]",4,5,1e-05,32
5,"[1.0, 16.0, 82.0, 0.0, 0.0, 0, 0, 0, 0, 0]",0,5,1e-05,32
5,"[1.0, 16.0, 82.0, 0.0, 0.0, 0, 0, 0, 0, 0]",1,5,1e-05,32
5,"[1.0, 16.0, 82.0, 0.0, 0.0, 0, 0, 0, 0, 0]",2,5,1e-05,32
5,"[1.0, 16.0, 82.0, 0.0, 0.0, 0, 0, 0, 0, 0]",3,5,1e-05,32
5,"[1.0, 16.0, 82.0, 0.0, 0.0, 0, 0, 0, 0, 0]",4,5,1e-05,32
6,"[1.0, 9.0, 89.0, 0.0, 0.0, 0, 0, 0, 0, 0]",0,5,1e-05,32
6,"[1.0, 9.0, 89.0, 0.0, 0.0, 0, 0, 0, 0, 0]",1,5,1e-05,32
6,"[1.0, 9.0, 89.0, 0.0, 0.0, 0, 0, 0, 0, 0]",2,5,1e-05,32
6,"[1.0, 9.0, 89.0, 0.0, 0.0, 0, 0, 0, 0, 0]",3,5,1e-05,32
6,"[1.0, 9.0, 89.0, 0.0, 0.0, 0, 0, 0, 0, 0]",4,5,1e-05,32
7,"[1.0, 10.0, 85.0, 0.0, 0.0, 0, 0, 0, 0, 0]",0,5,1e-05,32
7,"[1.0, 10.0, 85.0, 0.0, 0.0, 0, 0, 0, 0, 0]",1,5,1e-05,32
7,"[1.0, 10.0, 85.0, 0.0, 0.0, 0, 0, 0, 0, 0]",2,5,1e-05,32
7,"[1.0, 10.0, 85.0, 0.0, 0.0, 0, 0, 0, 0, 0]",3,5,1e-05,32
7,"[1.0, 10.0, 85.0, 0.0, 0.0, 0, 0, 0, 0, 0]",4,5,1e-05,32
8,"[0.0, 13.0, 81.0, 0.0, 0.0, 0, 0, 0, 0, 0]",0,5,1e-05,32
8,"[0.0, 13.0, 81.0, 0.0, 0.0, 0, 0, 0, 0, 0]",1,5,1e-05,32
8,"[0.0, 13.0, 81.0, 0.0, 0.0, 0, 0, 0, 0, 0]",2,5,1e-05,32
8,"[0.0, 13.0, 81.0, 0.0, 0.0, 0, 0, 0, 0, 0]",3,5,1e-05,32
8,"[0.0, 13.0, 81.0, 0.0, 0.0, 0, 0, 0, 0, 0]",4,5,1e-05,32
9,"[0.0, 13.0, 86.0, 0.0, 0.0, 0, 0, 0, 0, 0]",0,5,1e-05,32
9,"[0.0, 13.0, 86.0, 0.0, 0.0, 0, 0, 0, 0, 0]",1,5,1e-05,32
9,"[0.0, 13.0, 86.0, 0.0, 0.0, 0, 0, 0, 0, 0]",2,5,1e-05,32
9,"[0.0, 13.0, 86.0, 0.0, 0.0, 0, 0, 0, 0, 0]",3,5,1e-05,32
9,"[0.0, 13.0, 86.0, 0.0, 0.0, 0, 0, 0, 0, 0]",4,5,1e-05,32
10,"[0.0, 12.0, 83.0, 0.0, 0.0, 0, 0, 0, 0, 0]",0,5,1e-05,32
10,"[0.0, 12.0, 83.0, 0.0, 0.0, 0, 0, 0, 0, 0]",1,5,1e-05,32
10,"[0.0, 12.0, 83.0, 0.0, 0.0, 0, 0, 0, 0, 0]",2,5,1e-05,32
10,"[0.0, 12.0, 83.0, 0.0, 0.0, 0, 0, 0, 0, 0]",3,5,1e-05,32
10,"[0.0, 12.0, 83.0, 0.0, 0.0, 0, 0, 0, 0, 0]",4,5,1e-05,32
11,"[0.0, 7.0, 88.0, 0.0, 0.0, 0, 0, 0, 0, 0]",0,5,1e-05,32
11,"[0.0, 7.0, 88.0, 0.0, 0.0, 0, 0, 0, 0, 0]",1,5,1e-05,32
11,"[0.0, 7.0, 88.0, 0.0, 0.0, 0, 0, 0, 0, 0]",2,5,1e-05,32
11,"[0.0, 7.0, 88.0, 0.0, 0.0, 0, 0, 0, 0, 0]",3,5,1e-05,32
11,"[0.0, 7.0, 88.0, 0.0, 0.0, 0, 0, 0, 0, 0]",4,5,1e-05,32
12,"[0.0, 19.0, 84.0, 0.0, 0.0, 0, 0, 0, 0, 0]",0,5,1e-05,32
12,"[0.0, 19.0, 84.0, 0.0, 0.0, 0, 0, 0, 0, 0]",1,5,1e-05,32
12,"[0.0, 19.0, 84.0, 0.0, 0.0, 0, 0, 0, 0, 0]",2,5,1e-05,32
12,"[0.0, 19.0, 84.0, 0.0, 0.0, 0, 0, 0, 0, 0]",3,5,1e-05,32
12,"[0.0, 19.0, 84.0, 0.0, 0.0, 0, 0, 0, 0, 0]",4,5,1e-05,32
13,"[1.0, 14.0, 88.0, 0.0, 0.0, 0, 0, 0, 0, 0]",0,5,1e-05,32
